,theta,calulated_p,phat,Dicrepancy_percnt
24,3.0400333611342787,0.19324810229930278,0.019847691,873.6553321177274
25,3.041701417848207,0.1930056778690714,0.01980011,874.770745859627
26,3.043369474562135,0.19276352472005132,0.019752616,875.888581581195
27,3.0450375312760634,0.19252164262137317,0.019705256,877.0065319234571
28,3.0467055879899916,0.1922800313421833,0.019658003,878.1259638563375
29,3.04837364470392,0.19203869065164447,0.019610858,879.2467757221067
30,3.050041701417848,0.19179762031893732,0.019563831,880.3683977120382
31,3.0517097581317767,0.19155682011325925,0.019516898,881.4921253422075
32,3.053377814845705,0.19131628980382698,0.019470084,882.6166404708356
33,3.055045871559633,0.19107602915987543,0.019423397,883.7415495475332
34,3.0567139282735614,0.1908360379506594,0.0193768,884.8687256272049
35,3.0583819849874896,0.19059631594545368,0.019330315,885.9969331462546
36,3.060050041701418,0.1903568629135538,0.019283943,887.126253771941
37,3.061718098415346,0.1901176786242762,0.019237677,888.2569617299099
38,3.0633861551292743,0.1898787628469596,0.019191524,889.3886629830073
39,3.0650542118432025,0.1896401153509648,0.019145476,890.5218251956816
40,3.066722268557131,0.18940173590567544,0.019099535,891.6562457431244
41,3.0683903252710594,0.18916362428049882,0.01905371,892.7915250088568
42,3.0700583819849876,0.18892578024486628,0.019007973,893.92910826496
43,3.071726438698916,0.1886882035682338,0.018962368,895.0666493521175
44,3.073394495412844,0.18845089402008242,0.018916868,896.2055942543932
45,3.0750625521267723,0.18821385136991908,0.018871462,897.3464252173427
46,3.0767306088407005,0.1879770753872767,0.018826166,898.488347076412
47,3.0783986655546287,0.1877405658417155,0.018780967,899.6320404369338
48,3.080066722268557,0.18750432250282267,0.018735902,900.7755092901853
49,3.0817347789824856,0.18726834514021373,0.018690927,901.9211224761219
50,3.083402835696414,0.18703263352353194,0.018646277,903.0561523668243
51,3.085070892410342,0.18679718742245077,0.018601883,904.18428277424
52,3.0867389491242703,0.18656200660667221,0.018557549,905.3160113037561
53,3.0884070058381985,0.1863270908459289,0.018513346,906.4474024897455
54,3.0900750625521267,0.18609243990998392,0.018469248,907.5799525916658
